MGP ID,Entrez Gene ID,Gene name,Symbol,pathway_name
MGP001733,3775,"potassium channel, two pore domain subfamily K, member 1",KCNK1,Acebutolol Action Pathway
MGP001742,3784,"potassium channel, voltage gated KQT-like subfamily Q, member 1",KCNQ1,Acebutolol Action Pathway
MGP002017,4638,myosin light chain kinase,MYLK,Acebutolol Action Pathway
MGP004616,23236,"phospholipase C, beta 1 (phosphoinositide-specific)",PLCB1,Acebutolol Action Pathway
MGP002329,5350,phospholamban,PLN,Acebutolol Action Pathway
MGP002414,5566,"protein kinase, cAMP-dependent, catalytic, alpha",PRKACA,Acebutolol Action Pathway
MGP002417,5573,"protein kinase, cAMP-dependent, regulatory, type I, alpha",PRKAR1A,Acebutolol Action Pathway
MGP002739,6262,ryanodine receptor 2 (cardiac),RYR2,Acebutolol Action Pathway
MGP002761,6331,"sodium channel, voltage gated, type V alpha subunit",SCN5A,Acebutolol Action Pathway
MGP002879,6546,"solute carrier family 8 (sodium/calcium exchanger), member 1",SLC8A1,Acebutolol Action Pathway
MGP002945,6640,"syntrophin, alpha 1",SNTA1,Acebutolol Action Pathway
MGP002946,6641,"syntrophin, beta 1 (dystrophin-associated protein A1, 59kDa, basic component 1)",SNTB1,Acebutolol Action Pathway
MGP002948,6645,"syntrophin, beta 2 (dystrophin-associated protein A1, 59kDa, basic component 2)",SNTB2,Acebutolol Action Pathway
MGP003162,7134,troponin C type 1 (slow),TNNC1,Acebutolol Action Pathway
MGP003159,7125,troponin C type 2 (fast),TNNC2,Acebutolol Action Pathway
MGP003163,7135,"troponin I type 1 (skeletal, slow)",TNNI1,Acebutolol Action Pathway
MGP003164,7136,"troponin I type 2 (skeletal, fast)",TNNI2,Acebutolol Action Pathway
MGP003165,7137,troponin I type 3 (cardiac),TNNI3,Acebutolol Action Pathway
MGP003166,7138,"troponin T type 1 (skeletal, slow)",TNNT1,Acebutolol Action Pathway
MGP003167,7139,troponin T type 2 (cardiac),TNNT2,Acebutolol Action Pathway
MGP003168,7140,"troponin T type 3 (skeletal, fast)",TNNT3,Acebutolol Action Pathway
MGP003181,7168,tropomyosin 1 (alpha),TPM1,Acebutolol Action Pathway
MGP003181,7168,tropomyosin 1 (alpha),TPM1,Acebutolol Action Pathway
MGP003182,7169,tropomyosin 2 (beta),TPM2,Acebutolol Action Pathway
MGP003182,7169,tropomyosin 2 (beta),TPM2,Acebutolol Action Pathway
MGP002268,5243,"ATP-binding cassette, sub-family B (MDR/TAP), member 1",ABCB1,Acetaminophen Metabolism Pathway
MGP001961,4363,"ATP-binding cassette, sub-family C (CFTR/MRP), member 1",ABCC1,Acetaminophen Metabolism Pathway
MGP004181,10257,"ATP-binding cassette, sub-family C (CFTR/MRP), member 4",ABCC4,Acetaminophen Metabolism Pathway
MGP004104,10057,"ATP-binding cassette, sub-family C (CFTR/MRP), member 5",ABCC5,Acetaminophen Metabolism Pathway
MGP003897,9429,"ATP-binding cassette, sub-family G (WHITE), member 2 (Junior blood group)",ABCG2,Acetaminophen Metabolism Pathway
MGP000746,1544,"cytochrome P450, family 1, subfamily A, polypeptide 2",CYP1A2,Acetaminophen Metabolism Pathway
MGP000748,1548,"cytochrome P450, family 2, subfamily A, polypeptide 6",CYP2A6,Acetaminophen Metabolism Pathway
MGP000757,1565,"cytochrome P450, family 2, subfamily D, polypeptide 6",CYP2D6,Acetaminophen Metabolism Pathway
MGP000758,1571,"cytochrome P450, family 2, subfamily E, polypeptide 1",CYP2E1,Acetaminophen Metabolism Pathway
MGP000761,1576,"cytochrome P450, family 3, subfamily A, polypeptide 4",CYP3A4,Acetaminophen Metabolism Pathway
MGP005239,51726,"DnaJ (Hsp40) homolog, subfamily B, member 11",DNAJB11,Acetaminophen Metabolism Pathway
MGP004417,10961,endoplasmic reticulum protein 29,ERP29,Acetaminophen Metabolism Pathway
MGP001357,2950,glutathione S-transferase pi 1,GSTP1,Acetaminophen Metabolism Pathway
MGP001358,2952,glutathione S-transferase theta 1,GSTT1,Acetaminophen Metabolism Pathway
MGP001358,2952,glutathione S-transferase theta 1,GSTT1,Acetaminophen Metabolism Pathway
MGP001516,3309,"heat shock 70kDa protein 5 (glucose-regulated protein, 78kDa)",HSPA5,Acetaminophen Metabolism Pathway
MGP004274,10525,hypoxia up-regulated 1,HYOU1,Acetaminophen Metabolism Pathway
MGP005786,64714,"protein disulfide isomerase family A, member 2",PDIA2,Acetaminophen Metabolism Pathway
MGP003954,9601,"protein disulfide isomerase family A, member 4",PDIA4,Acetaminophen Metabolism Pathway
MGP004137,10130,"protein disulfide isomerase family A, member 6",PDIA6,Acetaminophen Metabolism Pathway
MGP002384,5479,peptidylprolyl isomerase B (cyclophilin B),PPIB,Acetaminophen Metabolism Pathway
MGP004739,23753,stromal cell-derived factor 2-like 1,SDF2L1,Acetaminophen Metabolism Pathway
MGP003020,6817,"sulfotransferase family, cytosolic, 1A, phenol-preferring, member 1",SULT1A1,Acetaminophen Metabolism Pathway
MGP003021,6818,"sulfotransferase family, cytosolic, 1A, phenol-preferring, member 3",SULT1A3,Acetaminophen Metabolism Pathway
MGP003008,6783,"sulfotransferase family 1E, estrogen-preferring, member 1",SULT1E1,Acetaminophen Metabolism Pathway
MGP003025,6822,"sulfotransferase family, cytosolic, 2A, dehydroepiandrosterone (DHEA)-preferring, member 1",SULT2A1,Acetaminophen Metabolism Pathway
MGP005314,54658,"UDP glucuronosyltransferase 1 family, polypeptide A1",UGT1A1,Acetaminophen Metabolism Pathway
MGP005308,54578,"UDP glucuronosyltransferase 1 family, polypeptide A6",UGT1A6,Acetaminophen Metabolism Pathway
MGP005308,54578,"UDP glucuronosyltransferase 1 family, polypeptide A6",UGT1A6,Acetaminophen Metabolism Pathway
MGP005312,54600,"UDP glucuronosyltransferase 1 family, polypeptide A9",UGT1A9,Acetaminophen Metabolism Pathway
MGP003267,7366,"UDP glucuronosyltransferase 2 family, polypeptide B15",UGT2B15,Acetaminophen Metabolism Pathway
MGP000106,203,adenylate kinase 1,AK1,Adefovir Dipivoxil Metabolism Pathway
MGP000107,204,adenylate kinase 2,AK2,Adefovir Dipivoxil Metabolism Pathway
MGP002104,4830,NME/NM23 nucleoside diphosphate kinase 1,NME1,Adefovir Dipivoxil Metabolism Pathway
MGP002105,4831,NME/NM23 nucleoside diphosphate kinase 2,NME2,Adefovir Dipivoxil Metabolism Pathway
MGP000005,16,alanyl-tRNA synthetase,AARS,Alanine Metabolism
MGP005634,57505,"alanyl-tRNA synthetase 2, mitochondrial",AARS2,Alanine Metabolism
MGP000104,189,alanine-glyoxylate aminotransferase,AGXT,Alanine Metabolism
MGP001302,2875,glutamic-pyruvate transaminase (alanine aminotransferase),GPT,Alanine Metabolism
MGP002206,5091,pyruvate carboxylase,PC,Alanine Metabolism
MGP003009,6785,ELOVL fatty acid elongase 4,ELOVL4,Alpha Linolenic Acid and Linoleic Acid Metabolism
MGP005713,60481,ELOVL fatty acid elongase 5,ELOVL5,Alpha Linolenic Acid and Linoleic Acid Metabolism
MGP001826,3992,fatty acid desaturase 1,FADS1,Alpha Linolenic Acid and Linoleic Acid Metabolism
MGP003891,9415,fatty acid desaturase 2,FADS2,Alpha Linolenic Acid and Linoleic Acid Metabolism
MGP007281,100137049,"phospholipase A2, group IVB (cytosolic)",PLA2G4B,Alpha Linolenic Acid and Linoleic Acid Metabolism
MGP005094,51005,amidohydrolase domain containing 2,AMDHD2,Amino Sugar Metabolism
MGP000543,1118,chitinase 1 (chitotriosidase),CHIT1,Amino Sugar Metabolism
MGP005519,55907,cytidine monophosphate N-acetylneuraminic acid synthetase,CMAS,Amino Sugar Metabolism
MGP001191,2673,glutamine--fructose-6-phosphate transaminase 1,GFPT1,Amino Sugar Metabolism
MGP004090,10020,glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase,GNE,Amino Sugar Metabolism
MGP004084,10007,glucosamine-6-phosphate deaminase 1,GNPDA1,Amino Sugar Metabolism
MGP005799,64841,glucosamine-phosphate N-acetyltransferase 1,GNPNAT1,Amino Sugar Metabolism
MGP001431,3073,hexosaminidase A (alpha polypeptide),HEXA,Amino Sugar Metabolism
MGP001439,3098,hexokinase 1,HK1,Amino Sugar Metabolism
MGP005444,55577,N-acetylglucosamine kinase,NAGK,Amino Sugar Metabolism
MGP006579,140838,N-acetylneuraminic acid phosphatase,NANP,Amino Sugar Metabolism
MGP005274,54187,N-acetylneuraminic acid synthase,NANS,Amino Sugar Metabolism
MGP006010,80896,N-acetylneuraminate pyruvate lyase (dihydrodipicolinate synthase),NPL,Amino Sugar Metabolism
MGP002266,5238,phosphoglucomutase 3,PGM3,Amino Sugar Metabolism
MGP002608,5973,renin binding protein,RENBP,Amino Sugar Metabolism
MGP004856,26503,"solute carrier family 17 (acidic sugar transporter), member 5",SLC17A5,Amino Sugar Metabolism
MGP002959,6675,UDP-N-acetylglucosamine pyrophosphorylase 1,UAP1,Amino Sugar Metabolism
MGP000140,275,aminomethyltransferase,AMT,Ammonia Recycling
MGP000225,440,asparagine synthetase (glutamine-hydrolyzing),ASNS,Ammonia Recycling
MGP005967,80150,asparaginase like 1,ASRGL1,Ammonia Recycling
MGP000671,1373,"carbamoyl-phosphate synthase 1, mitochondrial",CPS1,Ammonia Recycling
MGP000838,1738,dihydrolipoamide dehydrogenase,DLD,Ammonia Recycling
MGP001184,2653,glycine cleavage system protein H (aminomethyl carrier),GCSH,Ammonia Recycling
MGP001224,2731,glycine dehydrogenase (decarboxylating),GLDC,Ammonia Recycling
MGP004931,27165,"glutaminase 2 (liver, mitochondrial)",GLS2,Ammonia Recycling
MGP001236,2746,glutamate dehydrogenase 1,GLUD1,Ammonia Recycling
MGP001410,3034,histidine ammonia-lyase,HAL,Ammonia Recycling
MGP004425,10993,serine dehydratase,SDS,Ammonia Recycling
MGP002975,6718,"aldo-keto reductase family 1, member D1",AKR1D1,Androgen and Estrogen Metabolism
MGP000770,1586,"cytochrome P450, family 17, subfamily A, polypeptide 1",CYP17A1,Androgen and Estrogen Metabolism
MGP000771,1588,"cytochrome P450, family 19, subfamily A, polypeptide 1",CYP19A1,Androgen and Estrogen Metabolism
MGP001508,3292,hydroxysteroid (17-beta) dehydrogenase 1,HSD17B1,Androgen and Estrogen Metabolism
MGP001509,3293,hydroxysteroid (17-beta) dehydrogenase 3,HSD17B3,Androgen and Estrogen Metabolism
MGP001504,3283,"hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 1",HSD3B1,Androgen and Estrogen Metabolism
MGP002972,6715,"steroid-5-alpha-reductase, alpha polypeptide 1 (3-oxo-5 alpha-steroid delta 4-dehydrogenase alpha 1)",SRD5A1,Androgen and Estrogen Metabolism
MGP000217,412,"steroid sulfatase (microsomal), isozyme S",STS,Androgen and Estrogen Metabolism
MGP003008,6783,"sulfotransferase family 1E, estrogen-preferring, member 1",SULT1E1,Androgen and Estrogen Metabolism
MGP003023,6820,"sulfotransferase family, cytosolic, 2B, member 1",SULT2B1,Androgen and Estrogen Metabolism
MGP004341,10720,"UDP glucuronosyltransferase 2 family, polypeptide B11",UGT2B11,Androgen and Estrogen Metabolism
MGP003268,7367,"UDP glucuronosyltransferase 2 family, polypeptide B17",UGT2B17,Androgen and Estrogen Metabolism
MGP003628,8644,"aldo-keto reductase family 1, member C3",AKR1C3,Arachidonic Acid Metabolism
MGP000128,239,arachidonate 12-lipoxygenase,ALOX12,Arachidonic Acid Metabolism
MGP000131,242,"arachidonate 12-lipoxygenase, 12R type",ALOX12B,Arachidonic Acid Metabolism
MGP000132,246,arachidonate 15-lipoxygenase,ALOX15,Arachidonic Acid Metabolism
MGP000133,247,"arachidonate 15-lipoxygenase, type B",ALOX15B,Arachidonic Acid Metabolism
MGP000129,240,arachidonate 5-lipoxygenase,ALOX5,Arachidonic Acid Metabolism
MGP000431,873,carbonyl reductase 1,CBR1,Arachidonic Acid Metabolism
MGP000752,1555,"cytochrome P450, family 2, subfamily B, polypeptide 6",CYP2B6,Arachidonic Acid Metabolism
MGP000754,1558,"cytochrome P450, family 2, subfamily C, polypeptide 8",CYP2C8,Arachidonic Acid Metabolism
MGP000758,1571,"cytochrome P450, family 2, subfamily E, polypeptide 1",CYP2E1,Arachidonic Acid Metabolism
MGP000760,1573,"cytochrome P450, family 2, subfamily J, polypeptide 2",CYP2J2,Arachidonic Acid Metabolism
MGP006338,113612,"cytochrome P450, family 2, subfamily U, polypeptide 1",CYP2U1,Arachidonic Acid Metabolism
MGP000763,1579,"cytochrome P450, family 4, subfamily A, polypeptide 11",CYP4A11,Arachidonic Acid Metabolism
MGP003587,8529,"cytochrome P450, family 4, subfamily F, polypeptide 2",CYP4F2,Arachidonic Acid Metabolism
MGP001842,4051,"cytochrome P450, family 4, subfamily F, polypeptide 3",CYP4F3,Arachidonic Acid Metabolism
MGP004502,11283,"cytochrome P450, family 4, subfamily F, polypeptide 8",CYP4F8,Arachidonic Acid Metabolism
MGP000973,2053,"epoxide hydrolase 2, cytoplasmic",EPHX2,Arachidonic Acid Metabolism
MGP006483,127281,"family with sequence similarity 213, member B",FAM213B,Arachidonic Acid Metabolism
MGP001195,2678,gamma-glutamyltransferase 1,GGT1,Arachidonic Acid Metabolism
MGP001303,2876,glutathione peroxidase 1,GPX1,Arachidonic Acid Metabolism
MGP001841,4048,leukotriene A4 hydrolase,LTA4H,Arachidonic Acid Metabolism
MGP001845,4056,leukotriene C4 synthase,LTC4S,Arachidonic Acid Metabolism
MGP007281,100137049,"phospholipase A2, group IVB (cytosolic)",PLA2G4B,Arachidonic Acid Metabolism
MGP002513,5730,prostaglandin D2 synthase 21kDa (brain),PTGDS,Arachidonic Acid Metabolism
MGP003941,9536,prostaglandin E synthase,PTGES,Arachidonic Acid Metabolism
MGP002520,5740,prostaglandin I2 (prostacyclin) synthase,PTGIS,Arachidonic Acid Metabolism
MGP002522,5742,prostaglandin-endoperoxide synthase 1 (prostaglandin G/H synthase and cyclooxygenase),PTGS1,Arachidonic Acid Metabolism
MGP002523,5743,prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase),PTGS2,Arachidonic Acid Metabolism
MGP003077,6916,thromboxane A synthase 1 (platelet),TBXAS1,Arachidonic Acid Metabolism
MGP003635,8659,"aldehyde dehydrogenase 4 family, member A1",ALDH4A1,Arginine and Proline Metabolism
MGP000195,383,arginase 1,ARG1,Arginine and Proline Metabolism
MGP000223,435,argininosuccinate lyase,ASL,Arginine and Proline Metabolism
MGP000227,445,argininosuccinate synthase 1,ASS1,Arginine and Proline Metabolism
MGP000566,1152,"creatine kinase, brain",CKB,Arginine and Proline Metabolism
MGP000671,1373,"carbamoyl-phosphate synthase 1, mitochondrial",CPS1,Arginine and Proline Metabolism
MGP000786,1610,D-amino-acid oxidase,DAO,Arginine and Proline Metabolism
MGP000975,2058,glutamyl-prolyl-tRNA synthetase,EPRS,Arginine and Proline Metabolism
MGP001154,2593,guanidinoacetate N-methyltransferase,GAMT,Arginine and Proline Metabolism
MGP001166,2628,glycine amidinotransferase (L-arginine:glycine amidinotransferase),GATM,Arginine and Proline Metabolism
MGP001236,2746,glutamate dehydrogenase 1,GLUD1,Arginine and Proline Metabolism
MGP001270,2805,"glutamic-oxaloacetic transaminase 1, soluble",GOT1,Arginine and Proline Metabolism
MGP002110,4842,nitric oxide synthase 1 (neuronal),NOS1,Arginine and Proline Metabolism
MGP002148,4942,ornithine aminotransferase,OAT,Arginine and Proline Metabolism
MGP002176,5009,ornithine carbamoyltransferase,OTC,Arginine and Proline Metabolism
MGP006926,283208,"prolyl 4-hydroxylase, alpha polypeptide III",P4HA3,Arginine and Proline Metabolism
MGP002456,5625,proline dehydrogenase (oxidase) 1,PRODH,Arginine and Proline Metabolism
MGP005018,29920,"pyrroline-5-carboxylate reductase family, member 2",PYCR2,Arginine and Proline Metabolism
MGP005590,57038,"arginyl-tRNA synthetase 2, mitochondrial",RARS2,Arginine and Proline Metabolism
MGP004151,10166,solute carrier family 25 (mitochondrial carrier; ornithine transporter) member 15,SLC25A15,Arginine and Proline Metabolism
MGP000006,18,4-aminobutyrate aminotransferase,ABAT,Aspartate Metabolism
MGP000089,158,adenylosuccinate lyase,ADSL,Aspartate Metabolism
MGP006432,122622,adenylosuccinate synthase like 1,ADSSL1,Aspartate Metabolism
MGP000223,435,argininosuccinate lyase,ASL,Aspartate Metabolism
MGP000225,440,asparagine synthetase (glutamine-hydrolyzing),ASNS,Aspartate Metabolism
MGP000226,443,aspartoacylase,ASPA,Aspartate Metabolism
MGP005967,80150,asparaginase like 1,ASRGL1,Aspartate Metabolism
MGP000227,445,argininosuccinate synthase 1,ASS1,Aspartate Metabolism
MGP000391,790,"carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase",CAD,Aspartate Metabolism
MGP000789,1615,aspartyl-tRNA synthetase,DARS,Aspartate Metabolism
MGP003586,8528,D-aspartate oxidase,DDO,Aspartate Metabolism
MGP001143,2571,"glutamate decarboxylase 1 (brain, 67kDa)",GAD1,Aspartate Metabolism
MGP001143,2571,"glutamate decarboxylase 1 (brain, 67kDa)",GAD1,Aspartate Metabolism
MGP006909,259307,interleukin 4 induced 1,IL4I1,Aspartate Metabolism
MGP002029,4677,asparaginyl-tRNA synthetase,NARS,Aspartate Metabolism
MGP004181,10257,"ATP-binding cassette, sub-family C (CFTR/MRP), member 4",ABCC4,Azathioprine Action Pathway
MGP004104,10057,"ATP-binding cassette, sub-family C (CFTR/MRP), member 5",ABCC5,Azathioprine Action Pathway
MGP000050,100,adenosine deaminase,ADA,Azathioprine Action Pathway
MGP005501,55811,adenylate cyclase 10 (soluble),ADCY10,Azathioprine Action Pathway
MGP000072,132,adenosine kinase,ADK,Azathioprine Action Pathway
MGP000089,158,adenylosuccinate lyase,ADSL,Azathioprine Action Pathway
MGP000090,159,adenylosuccinate synthase,ADSS,Azathioprine Action Pathway
MGP000106,203,adenylate kinase 1,AK1,Azathioprine Action Pathway
MGP000137,270,adenosine monophosphate deaminase 1,AMPD1,Azathioprine Action Pathway
MGP000157,316,aldehyde oxidase 1,AOX1,Azathioprine Action Pathway
MGP000177,353,adenine phosphoribosyltransferase,APRT,Azathioprine Action Pathway
MGP006183,84896,"ATPase family, AAA domain containing 1",ATAD1,Azathioprine Action Pathway
MGP000232,471,5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase,ATIC,Azathioprine Action Pathway
MGP000825,1716,deoxyguanosine kinase,DGUOK,Azathioprine Action Pathway
MGP000462,957,ectonucleoside triphosphate diphosphohydrolase 5,ENTPD5,Azathioprine Action Pathway
MGP007071,377841,ectonucleoside triphosphate diphosphohydrolase 8,ENTPD8,Azathioprine Action Pathway
MGP001157,2618,"phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase",GART,Azathioprine Action Pathway
MGP003957,9615,guanine deaminase,GDA,Azathioprine Action Pathway
MGP001240,2766,guanosine monophosphate reductase,GMPR,Azathioprine Action Pathway
MGP003711,8833,guanine monphosphate synthase,GMPS,Azathioprine Action Pathway
MGP001377,2977,"guanylate cyclase 1, soluble, alpha 2",GUCY1A2,Azathioprine Action Pathway
MGP001380,2983,"guanylate cyclase 1, soluble, beta 3",GUCY1B3,Azathioprine Action Pathway
MGP001382,2987,guanylate kinase 1,GUK1,Azathioprine Action Pathway
MGP001495,3251,hypoxanthine phosphoribosyltransferase 1,HPRT1,Azathioprine Action Pathway
MGP001682,3704,inosine triphosphatase (nucleoside triphosphate pyrophosphatase),ITPA,Azathioprine Action Pathway
MGP004162,10201,NME/NM23 nucleoside diphosphate kinase 6,NME6,Azathioprine Action Pathway
MGP004468,11164,nudix (nucleoside diphosphate linked moiety X)-type motif 5,NUDT5,Azathioprine Action Pathway
MGP004304,10606,"phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase",PAICS,Azathioprine Action Pathway
MGP002244,5198,phosphoribosylformylglycinamidine synthase,PFAS,Azathioprine Action Pathway
MGP002121,4860,purine nucleoside phosphorylase,PNP,Azathioprine Action Pathway
MGP002379,5471,phosphoribosyl pyrophosphate amidotransferase,PPAT,Azathioprine Action Pathway
MGP006829,221823,phosphoribosyl pyrophosphate synthetase 1-like 1,PRPS1L1,Azathioprine Action Pathway
MGP002559,5879,"ras-related C3 botulinum toxin substrate 1 (rho family, small GTP binding protein Rac1)",RAC1,Azathioprine Action Pathway
MGP002730,6240,ribonucleotide reductase M1,RRM1,Azathioprine Action Pathway
MGP002731,6241,ribonucleotide reductase M2,RRM2,Azathioprine Action Pathway
MGP003815,9153,"solute carrier family 28 (concentrative nucleoside transporter), member 2",SLC28A2,Azathioprine Action Pathway
MGP005738,64078,"solute carrier family 28 (concentrative nucleoside transporter), member 3",SLC28A3,Azathioprine Action Pathway
MGP000957,2030,"solute carrier family 29 (equilibrative nucleoside transporter), member 1",SLC29A1,Azathioprine Action Pathway
MGP001480,3177,"solute carrier family 29 (equilibrative nucleoside transporter), member 2",SLC29A2,Azathioprine Action Pathway
MGP001480,3177,"solute carrier family 29 (equilibrative nucleoside transporter), member 2",SLC29A2,Azathioprine Action Pathway
MGP003185,7172,thiopurine S-methyltransferase,TPMT,Azathioprine Action Pathway
MGP003226,7295,thioredoxin,TXN,Azathioprine Action Pathway
MGP003329,7498,xanthine dehydrogenase,XDH,Azathioprine Action Pathway
MGP000798,1636,angiotensin I converting enzyme,ACE,Benazepril Action Pathway
MGP000100,183,"angiotensinogen (serpin peptidase inhibitor, clade A, member 8)",AGT,Benazepril Action Pathway
MGP000101,185,"angiotensin II receptor, type 1",AGTR1,Benazepril Action Pathway
MGP000101,185,"angiotensin II receptor, type 1",AGTR1,Benazepril Action Pathway
MGP002607,5972,renin,REN,Benazepril Action Pathway
MGP000081,148,adrenoceptor alpha 1A,ADRA1A,Benzocaine Action Pathway
MGP000235,476,"ATPase, Na+/K+ transporting, alpha 1 polypeptide",ATP1A1,Benzocaine Action Pathway
MGP000236,477,"ATPase, Na+/K+ transporting, alpha 2 polypeptide",ATP1A2,Benzocaine Action Pathway
MGP000237,478,"ATPase, Na+/K+ transporting, alpha 3 polypeptide",ATP1A3,Benzocaine Action Pathway
MGP000239,480,"ATPase, Na+/K+ transporting, alpha 4 polypeptide",ATP1A4,Benzocaine Action Pathway
MGP000240,481,"ATPase, Na+/K+ transporting, beta 1 polypeptide",ATP1B1,Benzocaine Action Pathway
MGP000241,482,"ATPase, Na+/K+ transporting, beta 2 polypeptide",ATP1B2,Benzocaine Action Pathway
MGP000242,483,"ATPase, Na+/K+ transporting, beta 3 polypeptide",ATP1B3,Benzocaine Action Pathway
MGP000379,773,"calcium channel, voltage-dependent, P/Q type, alpha 1A subunit",CACNA1A,Benzocaine Action Pathway
MGP003841,9254,"calcium channel, voltage-dependent, alpha 2/delta subunit 2",CACNA2D2,Benzocaine Action Pathway
MGP000386,782,"calcium channel, voltage-dependent, beta 1 subunit",CACNB1,Benzocaine Action Pathway
MGP000556,1137,"cholinergic receptor, nicotinic, alpha 4 (neuronal)",CHRNA4,Benzocaine Action Pathway
MGP000559,1141,"cholinergic receptor, nicotinic, beta 2 (neuronal)",CHRNB2,Benzocaine Action Pathway
MGP000871,1812,dopamine receptor D1,DRD1,Benzocaine Action Pathway
MGP000243,486,FXYD domain containing ion transport regulator 2,FXYD2,Benzocaine Action Pathway
